['окно', 'сущ.', 'ср.р.', 'ед.ч.']
['высокий', 'прил.', 'м.р.', 'ед.ч.']
['идти', 'гл.', '—', '—']
['дверь', 'сущ.', 'ж.р.', 'ед.ч.']
['быстрый', 'прил.', 'м.р.', 'ед.ч.']
['солнце', 'сущ.', 'ср.р.', 'ед.ч.']
['писать', 'гл.', '—', '—']
['лес', 'сущ.', 'м.р.', 'ед.ч.']
['большой', 'прил.', 'м.р.', 'ед.ч.']
['море', 'сущ.', 'ср.р.', 'ед.ч.']
['читать', 'гл.', '—', '—']
['дом', 'сущ.', 'м.р.', 'ед.ч.']
['красный', 'прил.', 'м.р.', 'ед.ч.']
['рисовать', 'гл.', '—', '—']
['стол', 'сущ.', 'м.р.', 'ед.ч.']
['добрый', 'прил.', 'м.р.', 'ед.ч.']
['вода', 'сущ.', 'ж.р.', 'ед.ч.']
['видеть', 'гл.', '—', '—']
['урок', 'сущ.', 'м.р.', 'ед.ч.']
['хороший', 'прил.', 'м.р.', 'ед.ч.']
['дерево', 'сущ.', 'ср.р.', 'ед.ч.']
['спать', 'гл.', '—', '—']
['школа', 'сущ.', 'ж.р.', 'ед.ч.']
['зелёный', 'прил.', 'м.р.', 'ед.ч.']
['рука', 'сущ.', 'ж.р.', 'ед.ч.']
['думать', 'гл.', '—', '—']
['кошка', 'сущ.', 'ж.р.', 'ед.ч.']
['старый', 'прил.', 'м.р.', 'ед.ч.']
['луна', 'сущ.', 'ж.р.', 'ед.ч.']
['говорить', 'гл.', '—', '—']
['мяч', 'сущ.', 'м.р.', 'ед.ч.']
['вкусный', 'прил.', 'м.р.', 'ед.ч.']
['улица', 'сущ.', 'ж.р.', 'ед.ч.']
['играть', 'гл.', '—', '—']
['хлеб', 'сущ.', 'м.р.', 'ед.ч.']
['широкий', 'прил.', 'м.р.', 'ед.ч.']
['карандаш', 'сущ.', 'м.р.', 'ед.ч.']
['горячий', 'прил.', 'м.р.', 'ед.ч.']
['чай', 'сущ.', 'м.р.', 'ед.ч.']
['слышать', 'гл.', '—', '—']
['облако', 'сущ.', 'ср.р.', 'ед.ч.']
['чистый', 'прил.', 'м.р.', 'ед.ч.']
['снег', 'сущ.', 'м.р.', 'ед.ч.']
['сидеть', 'гл.', '—', '—']
['журнал', 'сущ.', 'м.р.', 'ед.ч.']
['весёлый', 'прил.', 'м.р.', 'ед.ч.']
['мальчик', 'сущ.', 'м.р.', 'ед.ч.']
['бегать', 'гл.', '—', '—']
['тетрадь', 'сущ.', 'ж.р.', 'ед.ч.']
['трудный', 'прил.', 'м.р.', 'ед.ч.']
['дождь', 'сущ.', 'м.р.', 'ед.ч.']
['смеяться', 'гл.', '—', '—']
['птица', 'сущ.', 'ж.р.', 'ед.ч.']
['молодой', 'прил.', 'м.р.', 'ед.ч.']
['ночь', 'сущ.', 'ж.р.', 'ед.ч.']
['учиться', 'гл.', '—', '—']
['диван', 'сущ.', 'м.р.', 'ед.ч.']
['белый', 'прил.', 'м.р.', 'ед.ч.']
['рыба', 'сущ.', 'ж.р.', 'ед.ч.']
['строить', 'гл.', '—', '—']
['друг', 'сущ.', 'м.р.', 'ед.ч.']
['чёрный', 'прил.', 'м.р.', 'ед.ч.']
['песня', 'сущ.', 'ж.р.', 'ед.ч.']
['мечтать', 'гл.', '—', '—']
['стул', 'сущ.', 'м.р.', 'ед.ч.']
['низкий', 'прил.', 'м.р.', 'ед.ч.']
['машина', 'сущ.', 'ж.р.', 'ед.ч.']
['помнить', 'гл.', '—', '—']
['брат', 'сущ.', 'м.р.', 'ед.ч.']
['тихий', 'прил.', 'м.р.', 'ед.ч.']
['звезда', 'сущ.', 'ж.р.', 'ед.ч.']
['решать', 'гл.', '—', '—']
['зима', 'сущ.', 'ж.р.', 'ед.ч.']
