['Свеча', 'Существ.', 'Жен.', 'Един.']
['Лампочка', 'Существ.', 'Жен.', 'Един.']
['Ключ', 'Существ.', 'Муж.', 'Един.']
['Замок', 'Существ.', 'Муж.', 'Един.']
['Дверь', 'Существ.', 'Жен.', 'Един.']
['Полка', 'Существ.', 'Жен.', 'Един.']
['Ковер', 'Существ.', 'Муж.', 'Един.']
['Стул', 'Существ.', 'Муж.', 'Един.']
['Лестница', 'Существ.', 'Жен.', 'Един.']
['Часы', 'Существ.', 'Муж.', 'Мн.']
['Ложка', 'Существ.', 'Жен.', 'Един.']
['Вилка', 'Существ.', 'Жен.', 'Един.']
['Нож', 'Существ.', 'Муж.', 'Един.']
['Тарелка', 'Существ.', 'Жен.', 'Един.']
['Стакан', 'Существ.', 'Муж.', 'Един.']
['Бутылка', 'Существ.', 'Жен.', 'Един.']
['Пакет', 'Существ.', 'Муж.', 'Един.']
['Коробка', 'Существ.', 'Жен.', 'Един.']
['Блокнот', 'Существ.', 'Муж.', 'Един.']
['Ручка', 'Существ.', 'Жен.', 'Един.']
['Карандаш', 'Существ.', 'Муж.', 'Един.']
['Лист', 'Существ.', 'Муж.', 'Един.']
['Бумага', 'Существ.', 'Жен.', 'Един.']
['Картон', 'Существ.', 'Муж.', 'Един.']
['Краска', 'Существ.', 'Жен.', 'Един.']
['кисть', 'Существ.', 'Жен.', 'Един.']
['Рисунок', 'Существ.', 'Муж.', 'Един.']
['Картина', 'Существ.', 'Жен.', 'Един.']
['Фотография', 'Существ.', 'Жен.', 'Един.']
['Плакаты', 'Существ.', 'Муж.', 'Мн.']
['Газета', 'Существ.', 'Жен.', 'Един.']
['Журнал', 'Существ.', 'Муж.', 'Един.']
['Книга', 'Существ.', 'Жен.', 'Мн.']
['Страница', 'Существ.', 'Жен.', 'Един.']
['Текст', 'Существ.', 'Муж.', 'Един.']
['Слово', 'Существ.', 'Сред.', 'Един.']
['Буква', 'Существ.', 'Жен.', 'Един.']
['Алфавит', 'Существ.', 'Муж.', 'Един.']
['Урок', 'Существ.', 'Муж.', 'Един.']
['Задание', 'Существ.', 'Сред.', 'Един.']
['Учебник', 'Существ.', 'Муж.', 'Един.']
['Учитель', 'Существ.', 'Муж.', 'Един.']
['Ученик', 'Существ.', 'Муж.', 'Един.']
['Класс', 'Существ.', 'Муж.', 'Един.']
['Школа', 'Существ.', 'Жен.', 'Един.']
['Университет', 'Существ.', 'Муж.', 'Един.']
['Студент', 'Существ.', 'Муж.', 'Един.']
['Экзамен', 'Существ.', 'Муж.', 'Един.']
['Оценка', 'Существ.', 'Жен.', 'Един.']
['Курс', 'Существ.', 'Муж.', 'Един.']
['Специальность', 'Существ.', 'Жен.', 'Един.']
['Факультет', 'Существ.', 'Муж.', 'Един.']
['Лекция', 'Существ.', 'Жен.', 'Един.']
['Семинар', 'Существ.', 'Муж.', 'Един.']
['Исследование', 'Существ.', 'Сред.', 'Един.']
['Работа', 'Существ.', 'Жен.', 'Един.']
['Проект', 'Существ.', 'Муж.', 'Един.']
['Научнаяработа', 'Существ.', 'Жен.', 'Един.']
['Публикация', 'Существ.', 'Жен.', 'Един.']
['Конференция', 'Существ.', 'Жен.', 'Един.']
['Доклад', 'Существ.', 'Муж.', 'Един.']
['Презентация', 'Существ.', 'Жен.', 'Един.']
['Тема', 'Существ.', 'Жен.', 'Един.']
['Вопрос', 'Существ.', 'Муж.', 'Един.']
['Ответ', 'Существ.', 'Муж.', 'Един.']
['Дискуссия', 'Существ.', 'Жен.', 'Един.']
['Мнение', 'Существ.', 'Сред.', 'Един.']
['Статья', 'Существ.', 'Жен.', 'Един.']
['Обсуждение', 'Существ.', 'Сред.', 'Един.']
['Вклад', 'Существ.', 'Муж.', 'Един.']
['Услуга', 'Существ.', 'Жен.', 'Един.']
['Решение', 'Существ.', 'Сред.', 'Един.']
['Задача', 'Существ.', 'Жен.', 'Един']
