| Солнце | Существительное | Средний | Единственное |
| Красивый | Прилагательное | Мужской | Единственное |
| Бежать | Глагол | - | - |
| Яблоко | Существительное | Средний | Единственное |
| Красные | Прилагательное | Множественное | Множественное |
| Играть | Глагол | - | - |
| Книга | Существительное | Женский | Единственное |
| Большие | Прилагательное | Множественное | Множественное |
| Птица | Существительное | Женский | Единственное |
| Летать | Глагол | - | - |
| Дом | Существительное | Мужской | Единственное |
| Высокие | Прилагательное | Множественное | Множественное |
| Бегать | Глагол | - | - |
| Кошка | Существительное | Женский | Единственное |
| Маленькие | Прилагательное | Множественное | Множественное |
| Прыгать | Глагол | - | - |
| Стол | Существительное | Мужской | Единственное |
| Синие | Прилагательное | Множественное | Множественное |
| Рисовать | Глагол | - | - |
| Окно | Существительное | Средний | Единственное |
| Зеленые | Прилагательное | Множественное | Множественное |
| Танцевать | Глагол | - | - |
| Дверь | Существительное | Женский | Единственное |
| Быстрые | Прилагательное | Множественное | Множественное |
| Плавать | Глагол | - | - |
| Гора | Существительное | Женский | Единственное |
| Сильные | Прилагательное | Множественное | Множественное |
| Читать | Глагол | - | - |
| Дерево | Существительное | Средний | Единственное |
| Умные | Прилагательное | Множественное | Множественное |
| Писать | Глагол | - | - |
| Цветок | Существительное | Мужской | Единственное |
| Веселые | Прилагательное | Множественное | Множественное |
| Спать | Глагол | - | - |
| Дождь | Существительное | Мужской | Единственное |
| Большие | Прилагательное | Множественное | Множественное |
| Купаться | Глагол | - | - |
| Облако | Существительное | Средний | Единственное |
| Сильные | Прилагательное | Множественное | Множественное |
| Танцевать | Глагол | - | - |
| Книга | Существительное | Женский | Единственное |
| Маленькие | Прилагательное | Множественное | Множественное |
| Прыгать | Глагол | - | - |
| Стол | Существительное | Мужской | Единственное |
| Синие | Прилагательное | Множественное | Множественное |
| Рисовать | Глагол | - | - |
| Окно | Существительное | Средний | Единственное |
| Зеленые | Прилагательное | Множественное | Множественное |
| Танцевать | Глагол | - | - |
| Дверь | Существительное | Женский | Единственное |
| Быстрые | Прилагательное | Множественное | Множественное |
| Плавать | Глагол | - | - |
| Гора | Существительное | Женский | Единственное |
| Умные | Прилагательное | Множественное | Множественное |
| Читать | Глагол | - | - |
| Дерево | Существительное | Средний | Единственное |
| Веселые | Прилагательное | Множественное | Множественное |
| Писать | Глагол | - | - |
| Цветок | Существительное | Мужской | Единственное |
| Сильные | Прилагательное | Множественное | Множественное |
| Спать | Глагол | - | - |
| Дождь | Существительное | Мужской | Единственное |
| Большие | Прилагательное | Множественное | Множественное |
| Купаться | Глагол | - | - |
| Облако | Существительное | Средний | Единственное |
| Сильные | Прилагательное | Множественное | Множественное |
| Танцевать | Глагол | - | - |
| Книга | Существительное | Женский | Единственное |
| Маленькие | Прилагательное | Множественное | Множественное |
| Прыгать | Глагол | - | - |
| Стол | Существительное | Мужской | Единственное |
| Синие | Прилагательное | Множественное | Множественное |
| Рисовать | Глагол | - | - |
| Окно | Существительное | Средний | Единственное |
| Зеленые | Прилагательное | Множественное | Множественное |
| Танцевать | Глагол | - | - |
| Дверь | Существительное | Женский | Единственное |
